number,street,unit,nearest_parcel_land_use,distance_m,reason
3409,OLDE CAPE W,,403,49.0,nearest non-residential (403)
3419,OLDE CAPE E,,403,17.6,nearest non-residential (403)
3480,WINCHESTER PIKE,,510,71.9,nearest parcel 72m away (> 60m)
5037,CHATTERTON RD,,425,47.7,nearest non-residential (425)
3407,OLDE CAPE E,,403,40.2,nearest non-residential (403)
5042,CHATTERTON RD,APT 3,403,42.6,nearest non-residential (403)
5000,CHATTERTON RD,APT 8,403,23.6,nearest non-residential (403)
4474,REINBEAU DR,,403,11.5,nearest non-residential (403)
3279,NOE BIXBY RD,,650,58.1,nearest non-residential (650)
4760,WINCHESTER PIKE,,685,16.6,nearest non-residential (685)
5580,SEDALIA DR,,510,64.2,nearest parcel 64m away (> 60m)
5142,SEDALIA DR,,403,55.9,nearest non-residential (403)
5110,SEDALIA DR,,425,35.1,nearest non-residential (425)
5179,OLDE CAPE N,,403,34.6,nearest non-residential (403)
4473,REINBEAU DR,,417,25.0,nearest non-residential (417)
3288,EVERSON RD E,,500,7.3,nearest=vacant land
3437,OLDE CAPE W,,403,42.8,nearest non-residential (403)
3431,OLDE CAPE W,,403,40.2,nearest non-residential (403)
3365,BEACHWORTH DR,,403,5.7,nearest non-residential (403)
3415,OLDE CAPE E,,403,33.5,nearest non-residential (403)
3421,OLDE CAPE W,,403,40.0,nearest non-residential (403)
5181,OLDE CAPE N,,403,36.5,nearest non-residential (403)
5104,SEDALIA DR,,425,8.5,nearest non-residential (425)
4462,WINCHESTER PIKE,,407,97.0,nearest parcel 97m away (> 60m)
3451,WINCHESTER PIKE,,480,43.4,nearest non-residential (480)
3423,OLDE CAPE W,,403,37.3,nearest non-residential (403)
3433,OLDE CAPE W,,403,34.4,nearest non-residential (403)
5042,CHATTERTON RD,APT 12,403,42.6,nearest non-residential (403)
0,MADELINE RD,,500,4.7,nearest=vacant land
5005,CHATTERTON RD,,425,17.8,nearest non-residential (425)
4512,REINBEAU DR,,403,12.0,nearest non-residential (403)
3427,OLDE CAPE W,,403,22.4,nearest non-residential (403)
5564,SEDALIA DR,,403,55.9,nearest non-residential (403)
3373,WINCHESTER PIKE,,429,30.6,nearest non-residential (429)
3435,OLDE CAPE W,,403,27.5,nearest non-residential (403)
5558,SEDALIA DR,,403,39.6,nearest non-residential (403)
3425,OLDE CAPE E,,403,12.0,nearest non-residential (403)
5183,OLDE CAPE N,,403,40.5,nearest non-residential (403)
5109,SEDALIA DR,,401,26.6,nearest non-residential (401)
3403,OLDE CAPE W,,403,45.9,nearest non-residential (403)
3421,OLDE CAPE E,,403,13.2,nearest non-residential (403)
1750,IDLEWILD RD,,420,9.3,nearest non-residential (420)
5000,CHATTERTON RD,APT 10,403,23.6,nearest non-residential (403)
5578,SEDALIA DR,,403,60.7,nearest parcel 61m away (> 60m)
3419,OLDE CAPE W,,403,32.8,nearest non-residential (403)
3403,OLDE CAPE E,,403,29.7,nearest non-residential (403)
4990,CHATTERTON RD,APT 2,420,49.4,nearest non-residential (420)
5008,CHATTERTON RD,APT 12,403,52.9,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2B,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 2J,630,9.5,nearest non-residential (630)
5026,CHATTERTON RD,APT 8,403,35.7,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2M,630,9.5,nearest non-residential (630)
5091,SEDALIA RD,,401,20.9,nearest non-residential (401)
3441,WINCHESTER PIKE,,480,55.9,nearest non-residential (480)
3601,WATKINS RD,,501,28.2,nearest=vacant land
3417,OLDE CAPE E,,403,25.8,nearest non-residential (403)
5026,CHATTERTON RD,APT 11,403,35.7,nearest non-residential (403)
5024,CHATTERTON RD,APT 8,403,8.6,nearest non-residential (403)
4990,CHATTERTON RD,APT 8,420,49.4,nearest non-residential (420)
5008,CHATTERTON RD,APT 4,403,52.9,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3D,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3P,630,9.5,nearest non-residential (630)
5016,CHATTERTON RD,APT 6,403,19.1,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2N,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 2R,630,9.5,nearest non-residential (630)
5042,CHATTERTON RD,APT 7,403,42.6,nearest non-residential (403)
5024,CHATTERTON RD,APT 2,403,8.6,nearest non-residential (403)
5020,CHATTERTON RD,APT 3,403,39.2,nearest non-residential (403)
5024,CHATTERTON RD,APT 11,403,8.6,nearest non-residential (403)
5016,CHATTERTON RD,APT 7,403,19.1,nearest non-residential (403)
5000,CHATTERTON RD,APT 2,403,23.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1D,630,9.5,nearest non-residential (630)
5042,CHATTERTON RD,APT 5,403,42.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3L,630,9.5,nearest non-residential (630)
5024,CHATTERTON RD,APT 7,403,8.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3J,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 3S,630,9.5,nearest non-residential (630)
5026,CHATTERTON RD,APT 5,403,35.7,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3F,630,9.5,nearest non-residential (630)
5026,CHATTERTON RD,APT 12,403,35.7,nearest non-residential (403)
5042,CHATTERTON RD,APT 8,403,42.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1E,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 1C,630,9.5,nearest non-residential (630)
5020,CHATTERTON RD,APT 9,403,39.2,nearest non-residential (403)
3232,NOE BIXBY RD,APT 2K,630,9.5,nearest non-residential (630)
5026,CHATTERTON RD,APT 7,403,35.7,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1R,630,9.5,nearest non-residential (630)
5020,CHATTERTON RD,APT 6,403,39.2,nearest non-residential (403)
5042,CHATTERTON RD,APT 1,403,42.6,nearest non-residential (403)
5042,CHATTERTON RD,APT 4,403,42.6,nearest non-residential (403)
5024,CHATTERTON RD,APT 9,403,8.6,nearest non-residential (403)
5020,CHATTERTON RD,APT 10,403,39.2,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1S,630,9.5,nearest non-residential (630)
5020,CHATTERTON RD,APT 1,403,39.2,nearest non-residential (403)
5024,CHATTERTON RD,APT 12,403,8.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 1H,630,9.5,nearest non-residential (630)
5024,CHATTERTON RD,APT 6,403,8.6,nearest non-residential (403)
5000,CHATTERTON RD,APT 3,403,23.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3Q,630,9.5,nearest non-residential (630)
5000,CHATTERTON RD,APT 4,403,23.6,nearest non-residential (403)
3232,NOE BIXBY RD,APT 3N,630,9.5,nearest non-residential (630)
3232,NOE BIXBY RD,APT 2P,630,9.5,nearest non-residential (630)
