number,street,unit,nearest_parcel_land_use,distance_m,reason
2880,NATHANIEL BLVD,C,403,85.8,nearest parcel 86m away (> 60m)
5852,CHATFORD DR,,403,41.4,nearest non-residential (403)
2855,CITIZENS PL,A,403,95.9,nearest parcel 96m away (> 60m)
1891,NOE-BIXBY RD,,403,38.3,nearest non-residential (403)
4655,REFUGEE RD,3C,403,67.1,nearest parcel 67m away (> 60m)
1558,BANDERA CT,,403,47.0,nearest non-residential (403)
5642,SARANAC DR,,403,47.6,nearest non-residential (403)
4563,HEMINGWAY CT,D,685,70.1,nearest parcel 70m away (> 60m)
2871,MERRYMOUNT CT,D,403,121.7,nearest parcel 122m away (> 60m)
1983,FOUNTAINVIEW CT,,403,72.1,nearest parcel 72m away (> 60m)
2809,CITIZENS PL,C,403,99.3,nearest parcel 99m away (> 60m)
5735,CHANTRY DR,,426,62.4,nearest parcel 62m away (> 60m)
3581,REFUGEE RD,,499,114.4,nearest parcel 114m away (> 60m)
3753,BUCKMAN ST,,500,19.3,nearest=vacant land
5528,CANTARA PL,,403,41.1,nearest non-residential (403)
446,CHANTRY DR,,447,15.6,nearest non-residential (447)
2495,EASTERN PINE RD,,403,113.3,nearest parcel 113m away (> 60m)
2207,SOFT WIND CT,,403,49.1,nearest non-residential (403)
2336,PETZINGER CT,,403,66.0,nearest parcel 66m away (> 60m)
130,CHANTRY DR,,447,15.6,nearest non-residential (447)
3725,KIMBERLY WEST DR,UNIT 2,600,75.3,nearest parcel 75m away (> 60m)
5780,HIBERNIA DR,A,403,70.7,nearest parcel 71m away (> 60m)
2317,SEVILLE AVE,,403,86.3,nearest parcel 86m away (> 60m)
5487,CHATFORD SQ,,403,100.1,nearest parcel 100m away (> 60m)
4659,REFUGEE RD,1A,403,71.9,nearest parcel 72m away (> 60m)
5947,MORRISSEY ST,,,54.8,nearest non-residential ()
5703,HIBERNIA DR,B,403,50.9,nearest non-residential (403)
2381,CANAL BAY WAY,,403,30.7,nearest non-residential (403)
5097,CEDAR DR,J,,21.5,nearest non-residential ()
4544,LAKE SIDE S,C,403,146.2,nearest parcel 146m away (> 60m)
4619,REFUGEE RD,2E,403,82.2,nearest parcel 82m away (> 60m)
2606,CHAPPEL CHASE,,403,81.1,nearest parcel 81m away (> 60m)
6735,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
6007,LAKE CLUB SQ,,400,63.0,nearest parcel 63m away (> 60m)
4517,LAKE SIDE S,,400,114.7,nearest parcel 115m away (> 60m)
5628,HIBERNIA DR,C,403,41.0,nearest non-residential (403)
398,CHANTRY DR,,447,15.6,nearest non-residential (447)
5981,LAKE CLUB SQ,A,403,50.9,nearest non-residential (403)
3751,SOFT WIND DR,,520,66.2,nearest parcel 66m away (> 60m)
5427,YORKSHIRE TERRACE DR,4C,403,21.5,nearest non-residential (403)
2722,TENNYSON BLVD,C,481,139.9,nearest parcel 140m away (> 60m)
5800,HIBERNIA DR,A,403,38.7,nearest non-residential (403)
6791,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
3726,BONNETT CT,,550,102.4,nearest parcel 102m away (> 60m)
4525,LAKE SIDE N,D,403,155.4,nearest parcel 155m away (> 60m)
3757,BIRCHTREE LN,,403,22.1,nearest non-residential (403)
5685,BAIRSFORD CIR N,12,403,30.2,nearest non-residential (403)
5418,LONSDALE PL S,UNIT B,401,54.2,nearest non-residential (401)
1740,LONSDALE PL E,,403,84.8,nearest parcel 85m away (> 60m)
200,CHANTRY DR,,447,15.6,nearest non-residential (447)
2913,SHILLING DR,,403,24.2,nearest non-residential (403)
3180,ELIM MANOR CT,212,591,28.8,nearest non-residential (591)
2788,CITIZENS PL,A,403,54.7,nearest non-residential (403)
1285,YORKLAND RD,UNIT N,403,32.4,nearest non-residential (403)
4650,HILTON CORPORATE DR,102,484,105.9,nearest parcel 106m away (> 60m)
448,CHANTRY DR,,447,15.6,nearest non-residential (447)
6639,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
2262,SEVILLE AVE,,403,17.5,nearest non-residential (403)
5553,CHATFORD DR,B,403,31.1,nearest non-residential (403)
2371,HUDSON BAY WAY,,510,109.5,nearest parcel 110m away (> 60m)
2052,S HAMILTON RD,,410,60.4,nearest parcel 60m away (> 60m)
5704,HIBERNIA DR,A,690,68.6,nearest parcel 69m away (> 60m)
3723,FRANCINE CT,,403,72.9,nearest parcel 73m away (> 60m)
4564,ISINGTON CT,207,403,68.9,nearest parcel 69m away (> 60m)
2166,RIVERDALE SQ E,,403,14.4,nearest non-residential (403)
2266,PETZINGER CT,,403,76.7,nearest parcel 77m away (> 60m)
1502,ABRAHAM WOODS,,,1.2,nearest non-residential ()
4257,EASTLAND FOOD CT,,427,80.3,nearest parcel 80m away (> 60m)
2779,CITIZENS PL,E,403,105.4,nearest parcel 105m away (> 60m)
3630,RIVERDALE SQ,,403,91.4,nearest parcel 91m away (> 60m)
2788,CITIZENS PL,C,403,50.6,nearest non-residential (403)
4215,DONLYN CT,,447,87.2,nearest parcel 87m away (> 60m)
3737,SOFT WIND DR,,520,65.8,nearest parcel 66m away (> 60m)
3146,S HAMILTON RD,,425,11.3,nearest non-residential (425)
1540,COBORA LN,,403,36.3,nearest non-residential (403)
2843,CITIZENS PL,B,499,93.7,nearest parcel 94m away (> 60m)
1890,FOUNTAINVIEW CT,,441,101.5,nearest parcel 102m away (> 60m)
4305,DONLYN CT,,447,35.0,nearest non-residential (447)
4802,ROLLINGBROOK LN,D,403,29.4,nearest non-residential (403)
2794,BERWICK SQ,,403,48.6,nearest non-residential (403)
3756,WESTPOINT DR,UNIT 4,403,34.6,nearest non-residential (403)
2195,SOFT WIND CT,,403,42.8,nearest non-residential (403)
4599,MONMOUTH CT,210,403,68.0,nearest parcel 68m away (> 60m)
3481,WESTPOINT DR,,500,17.6,nearest=vacant land
4172,ASTON MARTIN CT,,403,58.2,nearest non-residential (403)
4237,DONLYN CT,,447,35.0,nearest non-residential (447)
2307,PETZINGER CT,,640,13.3,nearest non-residential (640)
3755,KIMBERLY WEST DR,UNIT 1,403,55.9,nearest non-residential (403)
5821,CHANTRY DR,,426,24.5,nearest non-residential (426)
460,CHANTRY DR,,447,15.6,nearest non-residential (447)
4655,REFUGEE RD,2B,403,60.7,nearest parcel 61m away (> 60m)
5904,CHATFORD DR,A,449,105.0,nearest parcel 105m away (> 60m)
3699,MENDON PL,,403,50.0,nearest non-residential (403)
2875,WINCHESTER CT,A,499,28.3,nearest non-residential (499)
5141,CEDAR DR,A,,29.0,nearest non-residential ()
3810,SOFT WIND DR,,403,35.3,nearest non-residential (403)
2383,HUDSON BAY WAY,,510,113.0,nearest parcel 113m away (> 60m)
3265,WINTER LANE PARK,,510,89.9,nearest parcel 90m away (> 60m)
2023,BAIRSFORD DR,1A,520,92.1,nearest parcel 92m away (> 60m)
4640,HEBRIDES DR,C,403,122.4,nearest parcel 122m away (> 60m)
5711,HIBERNIA DR,,403,55.0,nearest non-residential (403)
464,CHANTRY DR,,447,15.6,nearest non-residential (447)
2874,MERRYMOUNT CT,C,403,150.4,nearest parcel 150m away (> 60m)
2915,TENNYSON BLVD,B,685,116.7,nearest parcel 117m away (> 60m)
654,CHANTRY DR,,447,15.6,nearest non-residential (447)
5592,MILLERSFIELD DR,,403,36.3,nearest non-residential (403)
5939,MORRISSEY ST,,,19.6,nearest non-residential ()
2800,MARWOOD CT,B,403,37.9,nearest non-residential (403)
4756,GROVES RD,,351,19.2,nearest non-residential (351)
2094,LAKE CLUB TER,,447,30.7,nearest non-residential (447)
3790,BUCKMAN ST,,500,4.1,nearest=vacant land
4655,HILTON CORPORATE DR,,670,33.5,nearest non-residential (670)
390,CHANTRY DR,,447,15.6,nearest non-residential (447)
5880,CHATFORD DR,C,403,36.6,nearest non-residential (403)
2566,PARK CRESCENT,,403,76.0,nearest parcel 76m away (> 60m)
5016,COVENTRY DR,,403,6.9,nearest non-residential (403)
2588,SUMMERWAY CT,,403,12.9,nearest non-residential (403)
6123,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
3722,SOFT WIND DR,,403,108.2,nearest parcel 108m away (> 60m)
4242,EASTLAND FOOD CT,,427,60.9,nearest parcel 61m away (> 60m)
1281,MCNAUGHTEN RD,UNIT J,403,77.0,nearest parcel 77m away (> 60m)
8,CHANTRY DR,,447,15.6,nearest non-residential (447)
4616,HEBRIDES DR,B,403,105.0,nearest parcel 105m away (> 60m)
5747,HIBERNIA DR,A,403,37.2,nearest non-residential (403)
4563,HEMINGWAY CT,B,685,72.0,nearest parcel 72m away (> 60m)
4613,REFUGEE RD,3A,403,63.6,nearest parcel 64m away (> 60m)
5393,YORKSHIRE TERRACE DR,3C,403,48.0,nearest non-residential (403)
2790,GROSSE POINT,,403,66.7,nearest parcel 67m away (> 60m)
5878,YORKLAND CT,UNIT I,403,56.2,nearest non-residential (403)
3770,WESTPOINT DR,UNIT 1,403,29.6,nearest non-residential (403)
1782,CHANNINGWAY CT W,,403,28.3,nearest non-residential (403)
3221,WEBSTER DR,,403,63.8,nearest parcel 64m away (> 60m)
3444,REFUGEE RD,,480,123.6,nearest parcel 124m away (> 60m)
2586,SUMMERWAY CT,,403,20.7,nearest non-residential (403)
6247,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
2720,BRANDY DR,102,458,54.2,nearest non-residential (458)
2045,LAKE CLUB TER,,403,39.8,nearest non-residential (403)
2907,TENNYSON BLVD,A,685,122.2,nearest parcel 122m away (> 60m)
2614,COURTRIGHT RD,,403,71.3,nearest parcel 71m away (> 60m)
5918,CHATFORD DR,,403,19.6,nearest non-residential (403)
4671,REFUGEE RD,1C,403,19.0,nearest non-residential (403)
2291,COURTRIGHT RD,,403,29.1,nearest non-residential (403)
2537,COURTRIGHT RD,,402,44.1,nearest non-residential (402)
3744,WESTPOINT DR,UNIT 4,403,58.2,nearest non-residential (403)
3748,SOFT WIND DR,,403,138.9,nearest parcel 139m away (> 60m)
1903,FOUNTAINVIEW CT,,403,67.5,nearest parcel 67m away (> 60m)
2585,KIMBERLY PKWY W,,403,62.2,nearest parcel 62m away (> 60m)
4617,REFUGEE RD,3B,403,16.9,nearest non-residential (403)
1775,BAIRSFORD CIR W,,403,54.2,nearest non-residential (403)
5009,COVENTRY DR,,403,42.6,nearest non-residential (403)
4555,LAKE SIDE N,C,403,157.3,nearest parcel 157m away (> 60m)
5986,ABERNATHY LN,,,7.3,nearest non-residential ()
1289,YORKLAND RD,UNIT B,403,25.1,nearest non-residential (403)
2613,SILVER OAK DR,,403,122.8,nearest parcel 123m away (> 60m)
5552,MILLERSFIELD DR,,403,85.1,nearest parcel 85m away (> 60m)
4299,KIMBERLY PKWY E,,400,41.5,nearest non-residential (400)
2411,SHORE BLVD E,J,403,58.7,nearest non-residential (403)
2573,SILVER OAK DR,,455,110.4,nearest parcel 110m away (> 60m)
3759,BIRCHTREE LN,,403,21.1,nearest non-residential (403)
5357,YORKSHIRE TERRACE DR,F,447,46.7,nearest non-residential (447)
2737,EASTLAND MALL,,427,37.9,nearest non-residential (427)
5680,SPRUCE TREE DR,,403,17.7,nearest non-residential (403)
3714,CHARBERT CT,,403,67.7,nearest parcel 68m away (> 60m)
538,CHANTRY DR,,447,15.6,nearest non-residential (447)
2460,SHORE BLVD W,C,403,91.8,nearest parcel 92m away (> 60m)
4597,REFUGEE RD,1G,403,42.6,nearest non-residential (403)
3136,S HAMILTON RD,,425,11.9,nearest non-residential (425)
5690,GREENPINE ST,,400,62.7,nearest parcel 63m away (> 60m)
590,CHANTRY DR,,447,15.6,nearest non-residential (447)
2491,SHORE BLVD E,C,122,147.3,nearest parcel 147m away (> 60m)
5580,AUTUMN CHASE DR,B,411,73.3,nearest parcel 73m away (> 60m)
2894,MERRYMOUNT CT,C,403,130.5,nearest parcel 130m away (> 60m)
2207,COURTSIDE DR,D,400,10.5,nearest non-residential (400)
1905,FOUNTAINVIEW CT,,403,68.6,nearest parcel 69m away (> 60m)
3480,WALNUT DR,,400,46.0,nearest non-residential (400)
4079,ROLLS ROYCE CT,,520,135.5,nearest parcel 136m away (> 60m)
2779,BERWICK SQ,,403,47.3,nearest non-residential (403)
2740,CITIZENS PL,B,403,167.3,nearest parcel 167m away (> 60m)
2078,PINE GROVE LN,,403,45.0,nearest non-residential (403)
4593,REFUGEE RD,3G,403,76.8,nearest parcel 77m away (> 60m)
3140,S HAMILTON RD,,425,6.8,nearest non-residential (425)
1751,LONSDALE RD,A,401,24.2,nearest non-residential (401)
5744,GREENPINE ST,,400,123.9,nearest parcel 124m away (> 60m)
2207,COURTSIDE DR,F,400,18.6,nearest non-residential (400)
1926,FOUNTAINVIEW CT,,403,97.5,nearest parcel 97m away (> 60m)
1737,LONSDALE RD,A,401,26.0,nearest non-residential (401)
5558,CHANTRY DR,,403,51.6,nearest non-residential (403)
5780,HIBERNIA DR,B,403,70.0,nearest parcel 70m away (> 60m)
1759,LONSDALE PL E,UNIT C,403,33.4,nearest non-residential (403)
5079,CEDAR DR,C,,18.0,nearest non-residential ()
5121,CEDAR DR,K,,28.9,nearest non-residential ()
4688,FENIMORE CT,D,403,138.6,nearest parcel 139m away (> 60m)
2791,CITIZENS PL,E,403,113.4,nearest parcel 113m away (> 60m)
5586,AUTUMN CHASE DR,,411,43.7,nearest non-residential (411)
4505,LAKE SIDE S,A,400,137.4,nearest parcel 137m away (> 60m)
2576,S HAMILTON RD,,425,57.0,nearest non-residential (425)
2630,BIRCHTREE WAY,,403,91.2,nearest parcel 91m away (> 60m)
2138,COURTRIGHT RD,,429,51.3,nearest non-residential (429)
5774,SPRUCE TREE DR,,403,151.7,nearest parcel 152m away (> 60m)
2409,SHORE BLVD E,,403,64.8,nearest parcel 65m away (> 60m)
5526,CANTARA PL,,403,31.2,nearest non-residential (403)
4601,REFUGEE RD,2H,403,62.8,nearest parcel 63m away (> 60m)
2421,SHORE BLVD E,A,403,53.8,nearest non-residential (403)
2195,DURANT AVE,,403,74.5,nearest parcel 74m away (> 60m)
5598,BAIRSFORD CIR N,,403,58.8,nearest non-residential (403)
4272,EASTLAND SQUARE DR,,426,106.0,nearest parcel 106m away (> 60m)
5742,HIBERNIA DR,B,403,70.1,nearest parcel 70m away (> 60m)
3344,TRADAN DR,,403,66.8,nearest parcel 67m away (> 60m)
5681,HIBERNIA DR,C,510,70.5,nearest parcel 70m away (> 60m)
5870,CHATFORD DR,F,403,20.3,nearest non-residential (403)
5448,LONSDALE PL S,UNIT C,403,19.7,nearest non-residential (403)
1944,FOUNTAINVIEW CT,F,403,116.5,nearest parcel 116m away (> 60m)
2233,COURTSIDE DR,H,400,50.0,nearest non-residential (400)
2785,CITIZENS PL,C,403,110.5,nearest parcel 110m away (> 60m)
5876,CHATFORD DR,A,403,29.0,nearest non-residential (403)
2098,S HAMILTON RD,,411,55.3,nearest non-residential (411)
620,CHANTRY DR,,447,15.6,nearest non-residential (447)
5981,LAKE CLUB SQ,E,403,46.2,nearest non-residential (403)
5544,MILLERSFIELD DR,,403,93.6,nearest parcel 94m away (> 60m)
4630,HILTON CORPORATE DR,205,484,126.0,nearest parcel 126m away (> 60m)
2597,SILVER OAK DR,,403,124.7,nearest parcel 125m away (> 60m)
5321,YORKSHIRE TERRACE DR,C,403,48.8,nearest non-residential (403)
2550,SILVER OAK DR,,403,86.8,nearest parcel 87m away (> 60m)
2608,NOE-BIXBY RD,B,510,68.7,nearest parcel 69m away (> 60m)
1588,LONSDALE RD,,403,46.3,nearest non-residential (403)
4225,EASTLAND FOOD CT,,427,47.2,nearest non-residential (427)
3862,BUCKMAN ST,,680,5.4,nearest non-residential (680)
2843,CITIZENS PL,H,403,91.6,nearest parcel 92m away (> 60m)
2274,SEVILLE AVE,,403,16.1,nearest non-residential (403)
5657,HIBERNIA DR,B,510,79.6,nearest parcel 80m away (> 60m)
2849,ROCKFORD LN,,403,106.4,nearest parcel 106m away (> 60m)
1909,OLDE COVENTRY RD E,,403,36.5,nearest non-residential (403)
5591,HIBERNIA DR,,510,61.1,nearest parcel 61m away (> 60m)
4582,MANDEVILLE CT,A,685,95.2,nearest parcel 95m away (> 60m)
2531,FRANKSWAY ST,,422,72.7,nearest parcel 73m away (> 60m)
2759,TENNYSON BLVD,,403,103.0,nearest parcel 103m away (> 60m)
2836,WYMAN CT,B,403,69.0,nearest parcel 69m away (> 60m)
5624,HIBERNIA DR,,403,48.3,nearest non-residential (403)
3754,SOFT WIND DR,,340,130.8,nearest parcel 131m away (> 60m)
6297,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
5572,MILLERSFIELD DR,,403,56.8,nearest non-residential (403)
5393,YORKSHIRE TERRACE DR,6B,403,54.6,nearest non-residential (403)
4690,FENIMORE CT,D,403,149.3,nearest parcel 149m away (> 60m)
220,CHANTRY DR,,447,15.6,nearest non-residential (447)
3268,WINTER LANE PARK,,481,100.8,nearest parcel 101m away (> 60m)
2112,PINE GROVE LN,,403,23.1,nearest non-residential (403)
3784,SOFT WIND DR,,403,59.4,nearest non-residential (403)
2898,MERRYMOUNT CT,C,403,123.5,nearest parcel 123m away (> 60m)
348,CHANTRY DR,,447,15.6,nearest non-residential (447)
5730,HIBERNIA DR,B,403,82.6,nearest parcel 83m away (> 60m)
2293,PETZINGER CT,,640,29.6,nearest non-residential (640)
3825,BUCKMAN ST,,500,14.1,nearest=vacant land
6063,LAKE CLUB PL,,441,119.7,nearest parcel 120m away (> 60m)
4522,LAKE SIDE N,,400,129.6,nearest parcel 130m away (> 60m)
3721,CHARBERT CT,,403,71.2,nearest parcel 71m away (> 60m)
2775,BERWICK SQ,,403,35.9,nearest non-residential (403)
1986,FOUNTAINVIEW CT,B,403,71.6,nearest parcel 72m away (> 60m)
412,CHANTRY DR,,447,15.6,nearest non-residential (447)
5970,ABERNATHY LN,,,20.0,nearest non-residential ()
3645,FARTHING LN,,403,54.4,nearest non-residential (403)
518,CHANTRY DR,,447,15.6,nearest non-residential (447)
4630,HILTON CORPORATE DR,214,411,83.6,nearest parcel 84m away (> 60m)
2583,S HAMILTON RD,,425,25.3,nearest non-residential (425)
5393,YORKSHIRE TERRACE DR,6A,403,52.8,nearest non-residential (403)
2225,COURTSIDE DR,C,400,30.4,nearest non-residential (400)
3310,WINTER LANE PARK,,403,101.4,nearest parcel 101m away (> 60m)
4669,REFUGEE RD,3F,403,14.7,nearest non-residential (403)
5202,CEDAR DR,L,,9.1,nearest non-residential ()
5864,CHATFORD DR,,403,9.3,nearest non-residential (403)
3409,SUFFIELD,,510,88.5,nearest parcel 88m away (> 60m)
2335,HAMILTON RD,,425,14.2,nearest non-residential (425)
2262,SUNSHINE PL,,520,61.5,nearest parcel 62m away (> 60m)
5982,LAKE CLUB SQ,C,403,76.9,nearest parcel 77m away (> 60m)
2419,SHORE BLVD E,,403,62.5,nearest parcel 62m away (> 60m)
3233,ELIM MANOR CT,,591,25.1,nearest non-residential (591)
2300,SEVILLE AVE,,403,51.6,nearest non-residential (403)
5864,CHATFORD DR,G,403,8.9,nearest non-residential (403)
2381,SHORE BLVD E,C,403,129.3,nearest parcel 129m away (> 60m)
2748,CITIZENS PL,G,403,147.8,nearest parcel 148m away (> 60m)
2881,TENNYSON BLVD,102,403,117.5,nearest parcel 118m away (> 60m)
3844,BUCKMAN ST,,500,4.9,nearest=vacant land
3348,TRADAN DR,,400,79.2,nearest parcel 79m away (> 60m)
4262,S HAMILTON RD,,426,83.9,nearest parcel 84m away (> 60m)
3298,WINTER LANE PARK,,510,128.8,nearest parcel 129m away (> 60m)
5489,E LIVINGSTON AVE,,426,95.6,nearest parcel 96m away (> 60m)
3861,BUCKMAN ST,,500,11.0,nearest=vacant land
6003,LAKE CLUB CT,C,403,142.1,nearest parcel 142m away (> 60m)
6165,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
2361,SHORE BLVD E,E,403,167.1,nearest parcel 167m away (> 60m)
4650,HILTON CORPORATE DR,112,484,77.5,nearest parcel 77m away (> 60m)
2401,SHORE BLVD E,B,403,70.6,nearest parcel 71m away (> 60m)
5123,CEDAR DR,J,,13.3,nearest non-residential ()
5757,KARENWAY DR,,401,44.7,nearest non-residential (401)
1951,FOUNTAINVIEW CT,,403,20.7,nearest non-residential (403)
3721,FRANCINE CT,,403,67.9,nearest parcel 68m away (> 60m)
5880,CHATFORD DR,H,403,48.3,nearest non-residential (403)
1847,COVENTRY LN,,403,63.8,nearest parcel 64m away (> 60m)
5822,CHATFORD DR,C,899,104.6,nearest parcel 105m away (> 60m)
4616,HEBRIDES DR,A,403,108.2,nearest parcel 108m away (> 60m)
3662,RIVERDALE SQ,,403,48.0,nearest non-residential (403)
5640,SARANAC DR,,403,47.2,nearest non-residential (403)
2748,CITIZENS PL,F,403,151.7,nearest parcel 152m away (> 60m)
660,CHANTRY DR,,447,15.6,nearest non-residential (447)
5415,YORKSHIRE TERRACE DR,5A,403,20.7,nearest non-residential (403)
4628,CHANNING TER,B,403,105.4,nearest parcel 105m away (> 60m)
5828,CHATFORD DR,D,899,91.6,nearest parcel 92m away (> 60m)
5502,DUNFIELD LN,4,403,56.9,nearest non-residential (403)
5712,GREENPINE ST,,400,75.7,nearest parcel 76m away (> 60m)
5985,LAKE CLUB SQ,,403,34.8,nearest non-residential (403)
5004,MYERS RD,,403,38.3,nearest non-residential (403)
3306,SUFFIELD,,510,64.4,nearest parcel 64m away (> 60m)
5990,RADEKIN RD,,500,5.8,nearest=vacant land
4663,REFUGEE RD,2D,403,78.1,nearest parcel 78m away (> 60m)
2218,SUNSHINE PL,,520,97.7,nearest parcel 98m away (> 60m)
1885,FOUNTAINVIEW CT,,403,55.9,nearest non-residential (403)
4633,COLERIDGE CT,C,403,27.5,nearest non-residential (403)
4204,EASTLAND SQUARE DR,,422,49.7,nearest non-residential (422)
6445,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
5427,YORKSHIRE TERRACE DR,4B,403,23.1,nearest non-residential (403)
4281,DONLYN CT,,447,33.6,nearest non-residential (447)
2541,FRANKSWAY ST,,422,40.0,nearest non-residential (422)
2716,EASTLAND MALL,,427,36.9,nearest non-residential (427)
6001,LAKE CLUB CT,A,403,151.6,nearest parcel 152m away (> 60m)
234,CHANTRY DR,,447,15.6,nearest non-residential (447)
1844,NOE-BIXBY RD,,660,68.2,nearest parcel 68m away (> 60m)
2545,SILVER OAK DR,,455,116.3,nearest parcel 116m away (> 60m)
2464,SHORE BLVD W,,403,102.0,nearest parcel 102m away (> 60m)
5878,YORKLAND CT,UNIT A,,47.4,nearest non-residential ()
5659,MAPLE TREE LN,,403,73.7,nearest parcel 74m away (> 60m)
4268,EASTLAND SQUARE DR,,426,110.1,nearest parcel 110m away (> 60m)
3727,BIRCHTREE LN,,403,77.2,nearest parcel 77m away (> 60m)
2802,MARWOOD CT,A,403,24.7,nearest non-residential (403)
6001,LAKE CLUB CT,E,403,150.3,nearest parcel 150m away (> 60m)
488,CHANTRY DR,,447,15.6,nearest non-residential (447)
3844,MAUMEE BAY WAY,,403,64.8,nearest parcel 65m away (> 60m)
2804,S HAMILTON RD,,435,69.5,nearest parcel 70m away (> 60m)
2255,PETZINGER CT,,420,80.1,nearest parcel 80m away (> 60m)
1281,MCNAUGHTEN RD,UNIT B,403,70.7,nearest parcel 71m away (> 60m)
2091,LAKE CLUB TER,D,400,73.9,nearest parcel 74m away (> 60m)
2717,EASTLAND MALL,,427,70.8,nearest parcel 71m away (> 60m)
4590,LAKE SIDE N,J,351,148.7,nearest parcel 149m away (> 60m)
3726,KIMBERLY WEST DR,,403,80.5,nearest parcel 81m away (> 60m)
2199,ROTUNDA DR,,403,16.6,nearest non-residential (403)
2806,GROSSE POINT,,403,29.5,nearest non-residential (403)
1936,OLDE COVENTRY RD E,,510,60.9,nearest parcel 61m away (> 60m)
1777,CHANNINGWAY CT W,,403,66.4,nearest parcel 66m away (> 60m)
3736,EMRICK CT,,403,48.3,nearest non-residential (403)
2726,TENNYSON BLVD,C,481,143.7,nearest parcel 144m away (> 60m)
4611,REFUGEE RD,1C,403,88.6,nearest parcel 89m away (> 60m)
1907,OLDE COVENTRY RD E,,403,39.4,nearest non-residential (403)
5795,MAPLE TREE LN,,403,159.8,nearest parcel 160m away (> 60m)
2821,WYMAN CT,,403,65.3,nearest parcel 65m away (> 60m)
4607,REFUGEE RD,2B,403,62.5,nearest parcel 62m away (> 60m)
3868,BUCKMAN ST,,500,7.2,nearest=vacant land
2091,LAKE CLUB TER,G,400,67.6,nearest parcel 68m away (> 60m)
4652,CHANNING TER,A,403,115.8,nearest parcel 116m away (> 60m)
5420,LONSDALE PL N,UNIT D,439,26.6,nearest non-residential (439)
296,CHANTRY DR,,447,15.6,nearest non-residential (447)
2023,BAIRSFORD DR,1F,520,69.4,nearest parcel 69m away (> 60m)
1963,FOUNTAINVIEW CT,,403,38.1,nearest non-residential (403)
1793,CHANNINGWAY CT E,,403,42.2,nearest non-residential (403)
2772,BERWICK SQ,,403,2.4,nearest non-residential (403)
2852,CITIZENS PL,E,403,82.7,nearest parcel 83m away (> 60m)
5904,CHATFORD DR,F,449,105.4,nearest parcel 105m away (> 60m)
3663,RIVERDALE SQ,,625,40.7,nearest non-residential (625)
2451,SHORE BLVD E,C,403,60.2,nearest parcel 60m away (> 60m)
4586,ISINGTON CT,203,403,95.4,nearest parcel 95m away (> 60m)
1793,BAIRSFORD DR,,680,49.4,nearest non-residential (680)
2706,EASTLAND MALL,,427,99.9,nearest parcel 100m away (> 60m)
4243,EASTLAND FOOD CT,,427,58.1,nearest non-residential (427)
1767,CHANNINGWAY CT W,,403,74.7,nearest parcel 75m away (> 60m)
5501,E LIVINGSTON AVE,,426,114.6,nearest parcel 115m away (> 60m)
3179,WEBSTER DR,,403,93.2,nearest parcel 93m away (> 60m)
2740,CITIZENS PL,F,481,165.3,nearest parcel 165m away (> 60m)
4273,DONLYN CT,,447,35.0,nearest non-residential (447)
2464,HUDSON BAY WAY,,403,88.0,nearest parcel 88m away (> 60m)
6309,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
6485,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
4221,DONLYN CT,,447,35.0,nearest non-residential (447)
5985,ABERNATHY LN,,,9.9,nearest non-residential ()
3988,KIMBERLY PKWY N,,401,39.7,nearest non-residential (401)
6003,LAKE CLUB CT,E,403,141.4,nearest parcel 141m away (> 60m)
5543,CHATFORD DR,,403,29.8,nearest non-residential (403)
5501,E LIVINGSTON AVE,UNIT B,426,109.2,nearest parcel 109m away (> 60m)
3735,KIMBERLY PKWY N,,550,80.3,nearest parcel 80m away (> 60m)
1836,NOE-BIXBY RD,,660,80.0,nearest parcel 80m away (> 60m)
1904,OLDE COVENTRY RD E,,403,57.6,nearest non-residential (403)
4667,REFUGEE RD,2D,403,29.0,nearest non-residential (403)
2617,SILVER OAK DR,,403,113.1,nearest parcel 113m away (> 60m)
3752,NOAM CT,,550,64.3,nearest parcel 64m away (> 60m)
5533,CANTARA PL,6,403,9.5,nearest non-residential (403)
4656,HEBRIDES DR,A,403,117.5,nearest parcel 118m away (> 60m)
6597,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
5489,E LIVINGSTON AVE,UNIT A,426,93.7,nearest parcel 94m away (> 60m)
3665,MENDON PL,,400,76.1,nearest parcel 76m away (> 60m)
2730,EASTLAND MALL,,427,28.5,nearest non-residential (427)
1311,YORKLAND RD,UNIT,,2.9,nearest non-residential ()
4289,EASTLAND SQUARE DR,,422,89.6,nearest parcel 90m away (> 60m)
1810,CHANNINGWAY CT W,,403,24.4,nearest non-residential (403)
3269,WINTER LANE PARK,,510,78.0,nearest parcel 78m away (> 60m)
4794,REFUGEE RD,C,510,65.0,nearest parcel 65m away (> 60m)
