address,number,street,unit,city,state,zip,note
"5054 CHATTERTON RD APT 5, Columbus, OH, 43232",5054,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 5, Columbus, OH, 43232",5008,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5040 CHATTERTON RD APT 10, Columbus, OH, 43232",5040,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5026 CHATTERTON RD APT 4, Columbus, OH, 43232",5026,CHATTERTON RD,APT 4,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 6, Columbus, OH, 43232",5000,CHATTERTON RD,APT 6,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5054 CHATTERTON RD APT 9, Columbus, OH, 43232",5054,CHATTERTON RD,APT 9,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5000 CHATTERTON RD APT 5, Columbus, OH, 43232",5000,CHATTERTON RD,APT 5,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5008 CHATTERTON RD APT 10, Columbus, OH, 43232",5008,CHATTERTON RD,APT 10,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5016 CHATTERTON RD APT 8, Columbus, OH, 43232",5016,CHATTERTON RD,APT 8,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"3345 S HAMILTON RD APT R, Columbus, OH, 43232",3345,S HAMILTON RD,APT R,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4996 CHATTERTON RD APT 2, Columbus, OH, 43232",4996,CHATTERTON RD,APT 2,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5040 CHATTERTON RD APT 6, Columbus, OH, 43232",5040,CHATTERTON RD,APT 6,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4657 REFUGEE RD 2H, Columbus, OH, 43232",4657,REFUGEE RD,2H,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5415 YORKSHIRE TERRACE DR 1C, Columbus, OH, 43232",5415,YORKSHIRE TERRACE DR,1C,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"4630 HILTON CORPORATE DR 211, Columbus, OH, 43232",4630,HILTON CORPORATE DR,211,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5484 DUNFIELD LN 1, Columbus, OH, 43232",5484,DUNFIELD LN,1,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"2730 TENNYSON BLVD A, Columbus, OH, 43232",2730,TENNYSON BLVD,A,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5792 HIBERNIA DR B, Columbus, OH, 43232",5792,HIBERNIA DR,B,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5145 CEDAR DR A, Columbus, OH, 43232",5145,CEDAR DR,A,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"1289 YORKLAND RD UNIT K, Columbus, OH, 43232",1289,YORKLAND RD,UNIT K,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5410 YORKSHIRE TERRACE DR C, Columbus, OH, 43232",5410,YORKSHIRE TERRACE DR,C,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"2205 COURTSIDE DR C, Columbus, OH, 43232",2205,COURTSIDE DR,C,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
"5079 CEDAR DR L, Columbus, OH, 43232",5079,CEDAR DR,L,Columbus,OH,43232,"census-confirmed apartment unit; residential inferred (unit), not auditor-verified"
