number,street,unit,city,state,zip,census_status
2386,CATALPA DR,,Columbus,OH,43232,No_Match
3121,BRICE RD,,Columbus,OH,43232,No_Match
2941,COURTRIGHT RD,,Columbus,OH,43232,No_Match
6162,KENSINGTON GLEN DR,,Columbus,OH,43232,No_Match
6150,KENSINGTON GLEN DR,,Columbus,OH,43232,No_Match
3887,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
3912,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
4812,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
6156,KENSINGTON GLEN DR,,Columbus,OH,43232,No_Match
2319,CATALPA DR,,Columbus,OH,43232,No_Match
6138,KENSINGTON GLEN DR,,Columbus,OH,43232,No_Match
3916,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
3885,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
3889,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
3906,NEWTON ABBEY LN,,Columbus,OH,43232,No_Match
3422,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3415,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3428,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3416,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3386,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3433,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3427,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3409,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3397,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3410,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3421,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3434,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3403,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
3440,CREEK VIEW TRAIL DR,,Columbus,OH,43232,No_Match
4896,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4841,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4865,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4914,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4872,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4847,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4835,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4836,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4902,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4854,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4926,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4877,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4848,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4860,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4884,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4853,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4890,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4823,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4866,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4907,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4920,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4817,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4818,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4908,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4842,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4824,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4859,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4889,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4878,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4895,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4829,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4830,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4871,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4913,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4883,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
4901,AMBER CROSSING DR,,Columbus,OH,43232,No_Match
5999,BEARS RUN RD,,Columbus,OH,43232,No_Match
5879,AUTUMN OAK DR,,Columbus,OH,43232,No_Match
