number,street,unit,city,region,postcode,district,latitude,longitude
4364,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664965,-82.8835314
4372,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664815,-82.8833364
4379,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661595,-82.8830996
4380,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9665029,-82.8831318
4387,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661604,-82.8828481
4388,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664803,-82.8829069
4396,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664863,-82.8827054
4403,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661306,-82.8824617
4404,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664843,-82.8824873
4411,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661469,-82.882237
4412,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664824,-82.8822826
4419,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661295,-82.8820055
4420,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664574,-82.8820341
4427,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.966107,-82.8818007
4428,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664478,-82.8818159
4437,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9661183,-82.8814984
4438,ALLEN DR,,WHITEHALL,OH,43213,FRA,39.9664436,-82.8815474
3330,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9749256,-82.9125827
3336,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.974918,-82.9124114
3344,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9749049,-82.9122293
3350,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9748918,-82.9120544
3360,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9748843,-82.9118438
3366,ANAWANDA AVE,,COLUMBUS,OH,43213,FRA,39.9748769,-82.9116119
