number,street,unit,city,region,postcode,district,latitude,longitude
6155,HUNTLEY RD,UNIT G,Worthington,OH,43229,FRA,40.0905493,-82.9989153
1391,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0977796,-82.9527344
6601,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1010024,-82.9981304
5600,KARL RD,,Sharon Twp,OH,43229,FRA,40.0816827,-82.9753594
1317,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0980021,-82.9546692
6733,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0986432,-82.9585727
6795,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0998813,-82.958332
1278,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1010129,-82.9558127
1231,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0981759,-82.9570952
6761,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0992217,-82.9583353
1345,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0979394,-82.9534852
1330,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1009468,-82.9540531
1306,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0986701,-82.9548554
6155,HUNTLEY RD,UNIT L,Worthington,OH,43229,FRA,40.0910901,-82.9991788
6150,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0909627,-82.9979698
6025,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0888225,-82.9981778
6171,HUNTLEY RD,UNIT I,Worthington,OH,43229,FRA,40.0911443,-83.0014398
527,SCHROCK RD,,Worthington,OH,43229,FRA,40.1008643,-82.9996486
480,SCHROCK RD,,Worthington,OH,43229,FRA,40.1035177,-83.0014855
470,SCHROCK RD,,Worthington,OH,43229,FRA,40.1025817,-83.0023429
1320,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1009622,-82.9545984
1360,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0984593,-82.9533005
6750,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0989164,-82.9579812
6770,HILDRETH AVE,,Sharon Twp,OH,43229,FRA,40.0993759,-82.9560169
6767,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1044623,-82.998989
6200,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0920488,-82.9979043
6185,HUNTLEY RD,UNIT I,Worthington,OH,43229,FRA,40.0914634,-83.0000863
6185,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.0914878,-83.0008932
6665,HUNTLEY RD,UNIT I,Worthington,OH,43229,FRA,40.103073,-82.9996021
6665,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.1031076,-82.9991385
1265,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0982691,-82.9563894
470,SCHROCK RD,,Worthington,OH,43229,FRA,40.1030737,-83.002367
491,SCHROCK RD,,Worthington,OH,43229,FRA,40.1007549,-83.001462
483,SCHROCK RD,,Worthington,OH,43229,FRA,40.1009849,-83.0015322
551,SCHROCK RD,,Worthington,OH,43229,FRA,40.1006929,-82.9992894
541,SCHROCK RD,,Worthington,OH,43229,FRA,40.1011922,-82.9993842
470,SCHROCK RD,,Worthington,OH,43229,FRA,40.1028976,-83.0023715
6790,MAPLE CANYON AVE,,Sharon Twp,OH,43229,FRA,40.0997843,-82.957906
1215,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0982769,-82.9576776
1326,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.098605,-82.9543372
7038,WORTHINGTON GALENA RD,,Worthington,OH,43229,FRA,40.1070444,-83.0001422
7065,HUNTLEY RD,,Worthington,OH,43229,FRA,40.1067266,-82.9991068
1195,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0983221,-82.9580175
6260,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0933902,-82.9978054
1275,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0981959,-82.9559787
6280,HUNTLEY RD,,Worthington,OH,43229,FRA,40.0937422,-82.9978106
525,SCHROCK RD,,Worthington,OH,43229,FRA,40.1009718,-82.9996705
535,SCHROCK RD,,Worthington,OH,43229,FRA,40.1013482,-82.9994125
6171,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.0904728,-83.0005376
6171,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.0904761,-83.0004558
6575,HUNTLEY RD,UNIT G,Worthington,OH,43229,FRA,40.1001377,-83.0007559
6999,HUNTLEY RD,APT H,Worthington,OH,43229,FRA,40.1058035,-82.9998765
6999,HUNTLEY RD,APT K,Worthington,OH,43229,FRA,40.1058154,-83.0002396
1362,COMMUNITY PARK DR,,Sharon Twp,OH,43229,FRA,40.1018101,-82.953023
