number,street,unit,city,region,postcode,latitude,longitude
6801,PRIOR PL,,REYNOLDSBURG,OH,43068,39.9638255,-82.8175746
8075,BUNYAN DR,,REYNOLDSBURG,OH,43068,39.9608546,-82.7832437
1133,JONSON CT,,REYNOLDSBURG,OH,43068,39.9629286,-82.7831616
6693,RAVENNA CT,,REYNOLDSBURG,OH,43068,39.9663796,-82.8207566
630,ANDREA PL,,REYNOLDSBURG,OH,43068,39.9684137,-82.8265801
6635,OLIVETREE CT,,REYNOLDSBURG,OH,43068,39.9748071,-82.8237481
6975,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9585451,-82.8121149
1131,MATTERHORN DR,,REYNOLDSBURG,OH,43068,39.9593071,-82.8171174
421,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.974964,-82.8116663
988,COTTINGHAM RD,,REYNOLDSBURG,OH,43068,39.9634029,-82.8009097
7131,MEDALLION CT,,REYNOLDSBURG,OH,43068,39.9638289,-82.8085929
6643,GLACIER AVE,,REYNOLDSBURG,OH,43068,39.9695665,-82.8226712
584,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9699395,-82.8222403
6564,FUSILIER AVE,,REYNOLDSBURG,OH,43068,39.9708616,-82.824987
6799,TANYA TER,,REYNOLDSBURG,OH,43068,39.9621939,-82.8173388
6566,FORRESTER WAY,,REYNOLDSBURG,OH,43068,39.9775531,-82.8262988
1112,NOCTURNE RD E,,REYNOLDSBURG,OH,43068,39.9601271,-82.8088886
1006,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9610385,-82.8180105
7343,BRYDEN RD,,REYNOLDSBURG,OH,43068,39.9582518,-82.802638
7053,BLACKOAK DR,,REYNOLDSBURG,OH,43068,39.9690134,-82.8121811
6383,BRICE WOODS DR,,REYNOLDSBURG,OH,43068,39.9565516,-82.8277426
1179,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9570431,-82.8277948
7975,WINDRIFT PL,,REYNOLDSBURG,OH,43068,39.9658612,-82.7867163
707,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9669863,-82.8186513
7397,DONALD AVE,,REYNOLDSBURG,OH,43068,39.9590122,-82.8012452
7089,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9739712,-82.8120178
1036,HILLRIDGE RD,,REYNOLDSBURG,OH,43068,39.9624814,-82.7999046
6810,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9578424,-82.8163335
7369,WOLLAM AVE,,REYNOLDSBURG,OH,43068,39.9616203,-82.802341
6990,CLYMER DR,,REYNOLDSBURG,OH,43068,39.9538045,-82.8103595
7163,BRIARCLIFF RD,,REYNOLDSBURG,OH,43068,39.96274,-82.8071918
609,GILMORE DR,,REYNOLDSBURG,OH,43068,39.9709415,-82.8052225
532,BRIGHTSTONE DR,,REYNOLDSBURG,OH,43068,39.9730318,-82.8040712
1528,DREAM CT,,REYNOLDSBURG,OH,43068,39.9539649,-82.7873382
6311,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9545302,-82.8291777
208,WHETSEL CT,,REYNOLDSBURG,OH,43068,39.9775045,-82.8251907
7411,DAUGHERTY DR,,REYNOLDSBURG,OH,43068,39.9733855,-82.8030893
1211,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9586988,-82.8042707
1221,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9584539,-82.8040783
6946,BLACKOAK DR,,REYNOLDSBURG,OH,43068,39.9701391,-82.8151969
1187,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9567912,-82.8280505
6939,WIND RIVER DR,,REYNOLDSBURG,OH,43068,39.9691701,-82.8153808
908,NOYES DR,,REYNOLDSBURG,OH,43068,39.9676363,-82.7826751
6879,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9584868,-82.8145947
838,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9661179,-82.8069062
902,PLEASANT DR,,REYNOLDSBURG,OH,43068,39.9651702,-82.8006123
7107,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9548267,-82.8079407
8033,SLATE PARK AVE,,REYNOLDSBURG,OH,43068,39.9677146,-82.7858485
8072,JONSON CT,,REYNOLDSBURG,OH,43068,39.9619775,-82.7834632
6564,RED FOX RD,,REYNOLDSBURG,OH,43068,39.9641455,-82.82378
824,GILMORE DR,,REYNOLDSBURG,OH,43068,39.9665111,-82.8047161
7658,N OAKBROOK DR,,REYNOLDSBURG,OH,43068,39.9593645,-82.7945888
1121,GIBSON RD,,REYNOLDSBURG,OH,43068,39.960534,-82.8019836
6806,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9578895,-82.8163837
7228,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.969036,-82.8070667
7410,LEBANON AVE,,REYNOLDSBURG,OH,43068,39.9664411,-82.8017689
554,SADDLETREE DR,,REYNOLDSBURG,OH,43068,39.9722301,-82.8075304
783,WHISTLEWOOD DR,,REYNOLDSBURG,OH,43068,39.9671099,-82.8103213
905,PLEASANT DR,,REYNOLDSBURG,OH,43068,39.965113,-82.8010112
6953,WIGWAM WAY,,REYNOLDSBURG,OH,43068,39.9773828,-82.816687
8239,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9756397,-82.7813486
1234,NOCTURNE RD E,,REYNOLDSBURG,OH,43068,39.9575822,-82.8092568
1071,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9612886,-82.8054972
6603,ROSETREE DR,,REYNOLDSBURG,OH,43068,39.9739294,-82.8245464
7123,WHITE BUTTERFLY LN,,REYNOLDSBURG,OH,43068,39.9629605,-82.8088593
